,yesterdays_candle,todays_candle,condition,candle_type,script
0,> r3,> r3,no_trade,bearish,nifty
1,r3-r2,> r3,no_trade,bearish,nifty
2,r2-pdh,> r3,no_trade,bearish,nifty
3,r2-r1,> r3,no_trade,bearish,nifty
4,pdh-r1,> r3,no_trade,bearish,nifty
5,r1-pdh,> r3,no_trade,bearish,nifty
6,r1-tc,> r3,no_trade,bearish,nifty
7,pdh-tc,> r3,no_trade,bearish,nifty
8,tc-pp,> r3,no_trade,bearish,nifty
9,pp-bc,> r3,no_trade,bearish,nifty
10,bc-pdl,> r3,no_trade,bearish,nifty
11,bc-s1,> r3,no_trade,bearish,nifty
12,pdl-s1,> r3,no_trade,bearish,nifty
13,s1-pdl,> r3,no_trade,bearish,nifty
14,pdl-s2,> r3,no_trade,bearish,nifty
15,s1-s2,> r3,no_trade,bearish,nifty
16,s2-s3,> r3,no_trade,bearish,nifty
17,< s3,> r3,no_trade,bearish,nifty
18,> r3,r3-r2,sell,bearish,nifty
19,r3-r2,r3-r2,sell,bearish,nifty
20,r2-pdh,r3-r2,buy,bearish,nifty
21,r2-r1,r3-r2,buy,bearish,nifty
22,pdh-r1,r3-r2,sell,bearish,nifty
23,r1-pdh,r3-r2,sell,bearish,nifty
24,r1-tc,r3-r2,sell,bearish,nifty
25,pdh-tc,r3-r2,sell,bearish,nifty
26,tc-pp,r3-r2,sell,bearish,nifty
27,pp-bc,r3-r2,sell,bearish,nifty
28,bc-pdl,r3-r2,sell,bearish,nifty
29,bc-s1,r3-r2,sell,bearish,nifty
30,pdl-s1,r3-r2,sell,bearish,nifty
31,s1-pdl,r3-r2,sell,bearish,nifty
32,pdl-s2,r3-r2,sell,bearish,nifty
33,s1-s2,r3-r2,sell,bearish,nifty
34,s2-s3,r3-r2,sell,bearish,nifty
35,< s3,r3-r2,sell,bearish,nifty
36,> r3,r2-pdh,sell,bearish,nifty
37,r3-r2,r2-pdh,sell,bearish,nifty
38,r2-pdh,r2-pdh,sell,bearish,nifty
39,r2-r1,r2-pdh,sell,bearish,nifty
40,pdh-r1,r2-pdh,sell,bearish,nifty
41,r1-pdh,r2-pdh,sell,bearish,nifty
42,r1-tc,r2-pdh,buy,bearish,nifty
43,pdh-tc,r2-pdh,sell,bearish,nifty
44,tc-pp,r2-pdh,sell,bearish,nifty
45,pp-bc,r2-pdh,sell,bearish,nifty
46,bc-pdl,r2-pdh,sell,bearish,nifty
47,bc-s1,r2-pdh,sell,bearish,nifty
48,pdl-s1,r2-pdh,sell,bearish,nifty
49,s1-pdl,r2-pdh,sell,bearish,nifty
50,pdl-s2,r2-pdh,sell,bearish,nifty
51,s1-s2,r2-pdh,sell,bearish,nifty
52,s2-s3,r2-pdh,sell,bearish,nifty
53,< s3,r2-pdh,sell,bearish,nifty
54,> r3,r2-r1,sell,bearish,nifty
55,r3-r2,r2-r1,buy,bearish,nifty
56,r2-pdh,r2-r1,buy,bearish,nifty
57,r2-r1,r2-r1,sell,bearish,nifty
58,pdh-r1,r2-r1,sell,bearish,nifty
59,r1-pdh,r2-r1,sell,bearish,nifty
60,r1-tc,r2-r1,sell,bearish,nifty
61,pdh-tc,r2-r1,buy,bearish,nifty
62,tc-pp,r2-r1,sell,bearish,nifty
63,pp-bc,r2-r1,sell,bearish,nifty
64,bc-pdl,r2-r1,sell,bearish,nifty
65,bc-s1,r2-r1,sell,bearish,nifty
66,pdl-s1,r2-r1,sell,bearish,nifty
67,s1-pdl,r2-r1,sell,bearish,nifty
68,pdl-s2,r2-r1,sell,bearish,nifty
69,s1-s2,r2-r1,sell,bearish,nifty
70,s2-s3,r2-r1,sell,bearish,nifty
71,< s3,r2-r1,sell,bearish,nifty
72,> r3,pdh-r1,sell,bearish,nifty
73,r3-r2,pdh-r1,sell,bearish,nifty
74,r2-pdh,pdh-r1,sell,bearish,nifty
75,r2-r1,pdh-r1,sell,bearish,nifty
76,pdh-r1,pdh-r1,sell,bearish,nifty
77,r1-pdh,pdh-r1,sell,bearish,nifty
78,r1-tc,pdh-r1,sell,bearish,nifty
79,pdh-tc,pdh-r1,buy,bearish,nifty
80,tc-pp,pdh-r1,sell,bearish,nifty
81,pp-bc,pdh-r1,sell,bearish,nifty
82,bc-pdl,pdh-r1,sell,bearish,nifty
83,bc-s1,pdh-r1,sell,bearish,nifty
84,pdl-s1,pdh-r1,sell,bearish,nifty
85,s1-pdl,pdh-r1,sell,bearish,nifty
86,pdl-s2,pdh-r1,sell,bearish,nifty
87,s1-s2,pdh-r1,sell,bearish,nifty
88,s2-s3,pdh-r1,sell,bearish,nifty
89,< s3,pdh-r1,sell,bearish,nifty
90,> r3,r1-pdh,sell,bearish,nifty
91,r3-r2,r1-pdh,sell,bearish,nifty
92,r2-pdh,r1-pdh,sell,bearish,nifty
93,r2-r1,r1-pdh,sell,bearish,nifty
94,pdh-r1,r1-pdh,buy,bearish,nifty
95,r1-pdh,r1-pdh,sell,bearish,nifty
96,r1-tc,r1-pdh,sell,bearish,nifty
97,pdh-tc,r1-pdh,sell,bearish,nifty
98,tc-pp,r1-pdh,sell,bearish,nifty
99,pp-bc,r1-pdh,sell,bearish,nifty
100,bc-pdl,r1-pdh,sell,bearish,nifty
101,bc-s1,r1-pdh,sell,bearish,nifty
102,pdl-s1,r1-pdh,sell,bearish,nifty
103,s1-pdl,r1-pdh,sell,bearish,nifty
104,pdl-s2,r1-pdh,sell,bearish,nifty
105,s1-s2,r1-pdh,sell,bearish,nifty
106,s2-s3,r1-pdh,sell,bearish,nifty
107,< s3,r1-pdh,sell,bearish,nifty
108,> r3,r1-tc,sell,bearish,nifty
109,r3-r2,r1-tc,sell,bearish,nifty
110,r2-pdh,r1-tc,sell,bearish,nifty
111,r2-r1,r1-tc,sell,bearish,nifty
112,pdh-r1,r1-tc,sell,bearish,nifty
113,r1-pdh,r1-tc,sell,bearish,nifty
114,r1-tc,r1-tc,sell,bearish,nifty
115,pdh-tc,r1-tc,sell,bearish,nifty
116,tc-pp,r1-tc,buy,bearish,nifty
117,pp-bc,r1-tc,sell,bearish,nifty
118,bc-pdl,r1-tc,sell,bearish,nifty
119,bc-s1,r1-tc,sell,bearish,nifty
120,pdl-s1,r1-tc,sell,bearish,nifty
121,s1-pdl,r1-tc,sell,bearish,nifty
122,pdl-s2,r1-tc,sell,bearish,nifty
123,s1-s2,r1-tc,sell,bearish,nifty
124,s2-s3,r1-tc,sell,bearish,nifty
125,< s3,r1-tc,sell,bearish,nifty
126,> r3,pdh-tc,sell,bearish,nifty
127,r3-r2,pdh-tc,sell,bearish,nifty
