,param,candle,stoch,pivot,decision
0,param1,bullish,ob,> r3,buy
1,param1,bullish,ob,r3-r2,sell
2,param1,bullish,ob,r2-pdh,sell
3,param1,bullish,ob,r2-r1,buy
4,param1,bullish,ob,pdh-r1,no_trade
5,param1,bullish,ob,r1-pdh,sell
6,param1,bullish,ob,r1-tc,no_trade
7,param1,bullish,ob,pdh-tc,buy
8,param1,bullish,ob,tc-pp,no_trade
9,param1,bullish,ob,pp-bc,no_trade
10,param1,bullish,ob,bc-pdl,no_trade
11,param1,bullish,ob,bc-s1,no_trade
12,param1,bullish,ob,pdl-s1,no_trade
13,param1,bullish,ob,s1-pdl,no_trade
14,param1,bullish,ob,pdl-s2,no_trade
15,param1,bullish,ob,s1-s2,no_trade
16,param1,bullish,ob,s2-s3,no_trade
17,param1,bullish,ob,< s3,no_trade
18,param1,bullish,os,> r3,buy
19,param1,bullish,os,r3-r2,no_trade
20,param1,bullish,os,r2-pdh,no_trade
21,param1,bullish,os,r2-r1,no_trade
22,param1,bullish,os,pdh-r1,no_trade
23,param1,bullish,os,r1-pdh,no_trade
24,param1,bullish,os,r1-tc,no_trade
25,param1,bullish,os,pdh-tc,no_trade
26,param1,bullish,os,tc-pp,no_trade
27,param1,bullish,os,pp-bc,no_trade
28,param1,bullish,os,bc-pdl,no_trade
29,param1,bullish,os,bc-s1,no_trade
30,param1,bullish,os,pdl-s1,no_trade
31,param1,bullish,os,s1-pdl,no_trade
32,param1,bullish,os,pdl-s2,no_trade
33,param1,bullish,os,s1-s2,no_trade
34,param1,bullish,os,s2-s3,no_trade
35,param1,bullish,os,< s3,no_trade
36,param1,bullish,nu,> r3,buy
37,param1,bullish,nu,r3-r2,buy
38,param1,bullish,nu,r2-pdh,buy
39,param1,bullish,nu,r2-r1,sell
40,param1,bullish,nu,pdh-r1,buy
41,param1,bullish,nu,r1-pdh,sell
42,param1,bullish,nu,r1-tc,no_trade
43,param1,bullish,nu,pdh-tc,buy
44,param1,bullish,nu,tc-pp,no_trade
45,param1,bullish,nu,pp-bc,no_trade
46,param1,bullish,nu,bc-pdl,no_trade
47,param1,bullish,nu,bc-s1,no_trade
48,param1,bullish,nu,pdl-s1,no_trade
49,param1,bullish,nu,s1-pdl,no_trade
50,param1,bullish,nu,pdl-s2,no_trade
51,param1,bullish,nu,s1-s2,no_trade
52,param1,bullish,nu,s2-s3,no_trade
53,param1,bullish,nu,< s3,no_trade
54,param1,bearish,ob,> r3,no_trade
55,param1,bearish,ob,r3-r2,sell
56,param1,bearish,ob,r2-pdh,no_trade
57,param1,bearish,ob,r2-r1,sell
58,param1,bearish,ob,pdh-r1,no_trade
59,param1,bearish,ob,r1-pdh,no_trade
60,param1,bearish,ob,r1-tc,no_trade
61,param1,bearish,ob,pdh-tc,buy
62,param1,bearish,ob,tc-pp,buy
63,param1,bearish,ob,pp-bc,buy
64,param1,bearish,ob,bc-pdl,no_trade
65,param1,bearish,ob,bc-s1,no_trade
66,param1,bearish,ob,pdl-s1,no_trade
67,param1,bearish,ob,s1-pdl,buy
68,param1,bearish,ob,pdl-s2,buy
69,param1,bearish,ob,s1-s2,no_trade
70,param1,bearish,ob,s2-s3,no_trade
71,param1,bearish,ob,< s3,no_trade
72,param1,bearish,os,> r3,no_trade
73,param1,bearish,os,r3-r2,no_trade
74,param1,bearish,os,r2-pdh,no_trade
75,param1,bearish,os,r2-r1,no_trade
76,param1,bearish,os,pdh-r1,no_trade
77,param1,bearish,os,r1-pdh,no_trade
78,param1,bearish,os,r1-tc,no_trade
79,param1,bearish,os,pdh-tc,no_trade
80,param1,bearish,os,tc-pp,no_trade
81,param1,bearish,os,pp-bc,no_trade
82,param1,bearish,os,bc-pdl,no_trade
83,param1,bearish,os,bc-s1,no_trade
84,param1,bearish,os,pdl-s1,no_trade
85,param1,bearish,os,s1-pdl,no_trade
86,param1,bearish,os,pdl-s2,no_trade
87,param1,bearish,os,s1-s2,no_trade
88,param1,bearish,os,s2-s3,no_trade
89,param1,bearish,os,< s3,no_trade
90,param1,bearish,nu,> r3,sell
91,param1,bearish,nu,r3-r2,no_trade
