,param,candle,stoch,pivot,decision
0,param1,bullish,ob,> r3,buy
1,param1,bullish,ob,r3-r2,buy
2,param1,bullish,ob,r2-pdh,buy
3,param1,bullish,ob,r2-r1,buy
4,param1,bullish,ob,pdh-r1,buy
5,param1,bullish,ob,r1-pdh,buy
6,param1,bullish,ob,r1-tc,buy
7,param1,bullish,ob,pdh-tc,buy
8,param1,bullish,ob,tc-pp,buy
9,param1,bullish,ob,pp-bc,buy
10,param1,bullish,ob,bc-pdl,buy
11,param1,bullish,ob,bc-s1,buy
12,param1,bullish,ob,pdl-s1,buy
13,param1,bullish,ob,s1-pdl,buy
14,param1,bullish,ob,pdl-s2,buy
15,param1,bullish,ob,s1-s2,buy
16,param1,bullish,ob,s2-s3,buy
17,param1,bullish,ob,< s3,buy
18,param1,bullish,os,> r3,buy
19,param1,bullish,os,r3-r2,buy
20,param1,bullish,os,r2-pdh,buy
21,param1,bullish,os,r2-r1,buy
22,param1,bullish,os,pdh-r1,buy
23,param1,bullish,os,r1-pdh,buy
24,param1,bullish,os,r1-tc,buy
25,param1,bullish,os,pdh-tc,buy
26,param1,bullish,os,tc-pp,buy
27,param1,bullish,os,pp-bc,buy
28,param1,bullish,os,bc-pdl,buy
29,param1,bullish,os,bc-s1,buy
30,param1,bullish,os,pdl-s1,buy
31,param1,bullish,os,s1-pdl,buy
32,param1,bullish,os,pdl-s2,buy
33,param1,bullish,os,s1-s2,buy
34,param1,bullish,os,s2-s3,buy
35,param1,bullish,os,< s3,buy
36,param1,bullish,nu,> r3,buy
37,param1,bullish,nu,r3-r2,buy
38,param1,bullish,nu,r2-pdh,buy
39,param1,bullish,nu,r2-r1,buy
40,param1,bullish,nu,pdh-r1,buy
41,param1,bullish,nu,r1-pdh,buy
42,param1,bullish,nu,r1-tc,buy
43,param1,bullish,nu,pdh-tc,sell
44,param1,bullish,nu,tc-pp,buy
45,param1,bullish,nu,pp-bc,buy
46,param1,bullish,nu,bc-pdl,buy
47,param1,bullish,nu,bc-s1,buy
48,param1,bullish,nu,pdl-s1,buy
49,param1,bullish,nu,s1-pdl,buy
50,param1,bullish,nu,pdl-s2,buy
51,param1,bullish,nu,s1-s2,buy
52,param1,bullish,nu,s2-s3,buy
53,param1,bullish,nu,< s3,buy
54,param1,bearish,ob,> r3,buy
55,param1,bearish,ob,r3-r2,buy
56,param1,bearish,ob,r2-pdh,buy
57,param1,bearish,ob,r2-r1,buy
58,param1,bearish,ob,pdh-r1,buy
59,param1,bearish,ob,r1-pdh,buy
60,param1,bearish,ob,r1-tc,buy
61,param1,bearish,ob,pdh-tc,buy
62,param1,bearish,ob,tc-pp,buy
63,param1,bearish,ob,pp-bc,buy
64,param1,bearish,ob,bc-pdl,buy
65,param1,bearish,ob,bc-s1,buy
66,param1,bearish,ob,pdl-s1,buy
67,param1,bearish,ob,s1-pdl,buy
68,param1,bearish,ob,pdl-s2,buy
69,param1,bearish,ob,s1-s2,buy
70,param1,bearish,ob,s2-s3,buy
71,param1,bearish,ob,< s3,buy
72,param1,bearish,os,> r3,buy
73,param1,bearish,os,r3-r2,buy
74,param1,bearish,os,r2-pdh,buy
75,param1,bearish,os,r2-r1,buy
76,param1,bearish,os,pdh-r1,buy
77,param1,bearish,os,r1-pdh,buy
78,param1,bearish,os,r1-tc,buy
79,param1,bearish,os,pdh-tc,buy
80,param1,bearish,os,tc-pp,buy
81,param1,bearish,os,pp-bc,buy
82,param1,bearish,os,bc-pdl,buy
83,param1,bearish,os,bc-s1,buy
84,param1,bearish,os,pdl-s1,buy
85,param1,bearish,os,s1-pdl,buy
86,param1,bearish,os,pdl-s2,buy
87,param1,bearish,os,s1-s2,buy
88,param1,bearish,os,s2-s3,buy
89,param1,bearish,os,< s3,buy
90,param1,bearish,nu,> r3,buy
91,param1,bearish,nu,r3-r2,buy
92,param1,bearish,nu,r2-pdh,buy
93,param1,bearish,nu,r2-r1,buy
94,param1,bearish,nu,pdh-r1,buy
95,param1,bearish,nu,r1-pdh,buy
96,param1,bearish,nu,r1-tc,buy
97,param1,bearish,nu,pdh-tc,buy
98,param1,bearish,nu,tc-pp,buy
99,param1,bearish,nu,pp-bc,buy
100,param1,bearish,nu,bc-pdl,buy
101,param1,bearish,nu,bc-s1,buy
102,param1,bearish,nu,pdl-s1,buy
103,param1,bearish,nu,s1-pdl,buy
104,param1,bearish,nu,pdl-s2,buy
105,param1,bearish,nu,s1-s2,buy
106,param1,bearish,nu,s2-s3,buy
107,param1,bearish,nu,< s3,buy
108,param1 alt,bullish,ob,> r3,buy
109,param1 alt,bullish,ob,r3-r2,buy
110,param1 alt,bullish,ob,r2-pdh,buy
111,param1 alt,bullish,ob,r2-r1,buy
112,param1 alt,bullish,ob,pdh-r1,buy
113,param1 alt,bullish,ob,r1-pdh,buy
114,param1 alt,bullish,ob,r1-tc,buy
115,param1 alt,bullish,ob,pdh-tc,buy
116,param1 alt,bullish,ob,tc-pp,buy
117,param1 alt,bullish,ob,pp-bc,buy
118,param1 alt,bullish,ob,bc-pdl,buy
119,param1 alt,bullish,ob,bc-s1,buy
120,param1 alt,bullish,ob,pdl-s1,buy
121,param1 alt,bullish,ob,s1-pdl,buy
122,param1 alt,bullish,ob,pdl-s2,buy
123,param1 alt,bullish,ob,s1-s2,buy
124,param1 alt,bullish,ob,s2-s3,buy
125,param1 alt,bullish,ob,< s3,buy
126,param1 alt,bullish,os,> r3,buy
127,param1 alt,bullish,os,r3-r2,buy
128,param1 alt,bullish,os,r2-pdh,buy
129,param1 alt,bullish,os,r2-r1,buy
130,param1 alt,bullish,os,pdh-r1,buy
131,param1 alt,bullish,os,r1-pdh,buy
132,param1 alt,bullish,os,r1-tc,buy
133,param1 alt,bullish,os,pdh-tc,buy
134,param1 alt,bullish,os,tc-pp,buy
135,param1 alt,bullish,os,pp-bc,buy
136,param1 alt,bullish,os,bc-pdl,buy
137,param1 alt,bullish,os,bc-s1,buy
138,param1 alt,bullish,os,pdl-s1,buy
139,param1 alt,bullish,os,s1-pdl,buy
140,param1 alt,bullish,os,pdl-s2,buy
141,param1 alt,bullish,os,s1-s2,buy
142,param1 alt,bullish,os,s2-s3,buy
143,param1 alt,bullish,os,< s3,buy
144,param1 alt,bullish,nu,> r3,buy
145,param1 alt,bullish,nu,r3-r2,buy
146,param1 alt,bullish,nu,r2-pdh,buy
147,param1 alt,bullish,nu,r2-r1,buy
148,param1 alt,bullish,nu,pdh-r1,buy
149,param1 alt,bullish,nu,r1-pdh,buy
150,param1 alt,bullish,nu,r1-tc,buy
151,param1 alt,bullish,nu,pdh-tc,buy
152,param1 alt,bullish,nu,tc-pp,buy
153,param1 alt,bullish,nu,pp-bc,buy
154,param1 alt,bullish,nu,bc-pdl,buy
155,param1 alt,bullish,nu,bc-s1,buy
156,param1 alt,bullish,nu,pdl-s1,buy
157,param1 alt,bullish,nu,s1-pdl,buy
158,param1 alt,bullish,nu,pdl-s2,buy
159,param1 alt,bullish,nu,s1-s2,buy
160,param1 alt,bullish,nu,s2-s3,buy
161,param1 alt,bullish,nu,< s3,buy
162,param1 alt,bearish,ob,> r3,buy
163,param1 alt,bearish,ob,r3-r2,buy
164,param1 alt,bearish,ob,r2-pdh,buy
165,param1 alt,bearish,ob,r2-r1,buy
166,param1 alt,bearish,ob,pdh-r1,buy
167,param1 alt,bearish,ob,r1-pdh,buy
168,param1 alt,bearish,ob,r1-tc,buy
169,param1 alt,bearish,ob,pdh-tc,buy
170,param1 alt,bearish,ob,tc-pp,buy
171,param1 alt,bearish,ob,pp-bc,buy
172,param1 alt,bearish,ob,bc-pdl,buy
173,param1 alt,bearish,ob,bc-s1,buy
174,param1 alt,bearish,ob,pdl-s1,buy
175,param1 alt,bearish,ob,s1-pdl,buy
176,param1 alt,bearish,ob,pdl-s2,buy
177,param1 alt,bearish,ob,s1-s2,buy
178,param1 alt,bearish,ob,s2-s3,buy
179,param1 alt,bearish,ob,< s3,buy
180,param1 alt,bearish,os,> r3,buy
181,param1 alt,bearish,os,r3-r2,buy
182,param1 alt,bearish,os,r2-pdh,buy
183,param1 alt,bearish,os,r2-r1,buy
184,param1 alt,bearish,os,pdh-r1,buy
