script,vwap_hourly,supertrend_hourly,parabolic_15min,bullish_bearish_15,vwap_kiss,vwap_spread,stoch_oversold_no_trade,custom,pwh_gt_tc_and_close_gt_pwh,reversal_trade,reversal_hard_sl,reversal_sl_hourly,reversal_target_ltp,hard_sl_multiplier,sl_hourly_multiplier,target_ltp_multiplier,entry_last,decision
NIFTY,BUY,BUY,BUY,BULLISH,TRUE,<50,TRUE,,TRUE,,,,,1.5,1,1.5,11:30,BUY
NIFTY,BUY,BUY,BUY,BULLISH,TRUE,<50,TRUE,,FALSE,,,,,1.5,1,1.5,11:30,SELL
NIFTY,BUY,BUY,BUY,BULLISH,TRUE,<50,TRUE,close > pdh,FALSE,,,,,1.5,1,2,11:30,BUY
NIFTY,BUY,BUY,BUY,BULLISH,TRUE,>50,TRUE,,,,,,,1.5,,1.5,11:30,SELL
NIFTY,BUY,BUY,BUY,BULLISH,TRUE,>50,TRUE,open=low,,,,,,1.5,,2,11:30,BUY
NIFTY,BUY,BUY,BUY,BULLISH,TRUE,>50,TRUE,"open=high, close > day_high",,,,,,1.5,,2,11:30,BUY
NIFTY,BUY,BUY,BUY,BULLISH,TRUE,>50,TRUE,open=high,,YES,same as entry points,,1.5sl,high of entry candle,,2,11:30,SELL
NIFTY,BUY,BUY,BUY,BEARISH,TRUE,>50,TRUE,,,,,,,1.5,1,2,11:30,BUY
NIFTY,BUY,BUY,BUY,BEARISH,TRUE,<50,TRUE,,,,,,,1.5,1,2,11:30,BUY
NIFTY,BUY,BUY,SELL,BULLISH,TRUE,>50,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
NIFTY,BUY,BUY,SELL,BULLISH,TRUE,<50,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
NIFTY,BUY,BUY,SELL,BEARISH,TRUE,>50,TRUE,,,,,,,1.5,1,2,11:30,NO_TRADE
NIFTY,BUY,BUY,SELL,BEARISH,TRUE,<50,TRUE,,,,,,,1.5,1,2,11:30,NO_TRADE
NIFTY,BUY,SELL,BUY,BULLISH,TRUE,<50,TRUE,,,,,,,1.5,1,2,11:30,BUY
NIFTY,BUY,SELL,BUY,BULLISH,TRUE,>50,TRUE,,,,,,,1.5,1,1.5,11:30,SELL
NIFTY,BUY,SELL,BUY,BEARISH,TRUE,<50,TRUE,,,,,,,1.5,1,2,11:30,BUY
