para,candle,level,stoch,cpr,signal,vwap_reversal
param4,bearish,<s3,nu,,buy,
param4,bearish,<s3,os,,sell,
param4,bearish,bc-pdl,os,,buy,
param4,bearish,bc-pdl,nu,,sell,vwap_reversal
param4,bearish,bc-s1,nu,,sell,
param4,bearish,bc-s1,os,,sell,
param4,bearish,pdl-s2,os,,sell,
param4,bearish,pdl-s2,nu,,sell,vwap_reversal
param4,bearish,pp-bc,os,,sell,
param4,bearish,r1-pdh,nu,,sell,
param4,bearish,r2-r1,nu,,sell,
param4,bearish,s1-pdl,nu,,sell,
param4,bearish,s1-s2,os,,buy,
param4,bearish,s1-s2,nu,,sell,
param4,bearish,s2-s3,os,,sell,vwap_reversal
param4,bearish,s2-s3,nu,,sell,
param4,bearish,tc-pp,os,,buy,
param4,bearish,tc-pp,nu,,sell,
param4,bullish,pdl-s2,nu,,buy,
param4,bullish,pdl-s1,nu,,sell,vwap_reversal
param4,bullish,pp-bc,nu,,sell,
param3,bearish,<s3,nu,,sell,
param3,bearish,bc-s1,nu,,buy,
param3,bearish,pdh-tc,nu,,sell,
param3,bullish,bc-pdl,nu,,sell,
param3,bullish,bc-pdl,ob,,buy,
param3,bullish,bc-s1,ob,,sell,
param3,bullish,pdh-tc,ob,,sell,
param3,bullish,pdh-tc,nu,,sell,
param3,bullish,pdl-s1,nu,,sell,
param3,bullish,pp-bc,nu,,sell,
param3,bullish,pp-bc,ob,,buy,
param3,bullish,r1-tc,ob,,sell,
param3,bullish,r1-tc,nu,,no trade,
param3,bullish,r2-r1,nu,,buy,
param3,bullish,tc-pp,nu,,buy,
param2,bearish,bc-pdl,nu,,sell,vwap_reversal
param2,bearish,bc-s1,nu,,sell,
param2,bearish,bc-s1,os,,sell,
param2,bearish,pdh-tc,nu,,sell,
param2,bearish,pp-bc,nu,,sell,
param2,bearish,r1-pdh,nu,,buy,
param2,bearish,tc-pp,nu,,buy,
param2,bearish,tc-pp,os,,buy,
param1,bullish,>r3,ob,,buy,
param1,bullish,>r3,nu,,buy,vwap_reversal
param1,bullish,bc-pdl,ob,,sell,
param1,bullish,bc-s1,nu,,sell,
param1,bullish,pdh-r1,ob,,sell,
param1,bullish,pdh-r1,nu,,buy,
param1,bullish,pdh-tc,nu,,buy,
param1,bullish,pdh-tc,ob,,sell,
param1,bullish,pp-bc,nu,,buy,
param1,bullish,pp-bc,ob,,buy,
param1,bullish,r1-pdh,nu,c cpr > p cpr,buy,
param1,bullish,r1-pdh,nu,c cpr < p cpr,sell,
param1,bullish,r1-pdh,ob,,buy,
param1,bullish,r1-tc,nu,,buy,vwap_reversal
param1,bullish,r1-tc,ob,,buy,
param1,bullish,r2-pdh,ob,,sell,
param1,bullish,r2-pdh,nu,,buy,
param1,bullish,r2-r1,nu,,sell,
param1,bullish,r2-r1,ob,,no trade,
param1,bullish,r3-r2,nu,,buy,vwap_reversal
param1,bullish,r3-r2,ob,,no trade,
param1,bullish,tc-pp,nu,,buy,
param1,bearish,r2-r1,nu,,buy,
