para,candle,stoch,level,signal,cpr
param1,bullish,ob,> r3,sell,
param1,bullish,ob,r3-r2,buy,sl will be 15 min close below vwap then take reversal trade  sl will be high of entry candle on 15 min close
param1,bullish,ob,r2-pdh,buy,sell on par sar or 90pts and reversal trade on parabolic sar signal and reversal sl will be high of  entery candle on 15 min closing basis
param1,bullish,ob,r2-r1,buy,sl will be 15 min close below vwap then take reversal trade  sl will be high of entry candle on 15 min close
param1,bullish,ob,pdh-r1,sell,sl will be 15 min close below vwap then take reversal trade  sl will be high of entry candle on 15 min close
param1,bullish,ob,r1-pdh,sell,
param1,bullish,ob,r1-tc,sell,
param1,bullish,ob,pdh-tc,sell,
param1,bullish,ob,tc-pp,no_trade,
param1,bullish,ob,pp-bc,no_trade,
param1,bullish,ob,bc-pdl,no_trade,
param1,bullish,ob,bc-s1,no_trade,
param1,bullish,ob,pdl-s1,no_trade,
param1,bullish,ob,s1-pdl,no_trade,
param1,bullish,ob,pdl-s2,no_trade,
param1,bullish,ob,s1-s2,no_trade,
param1,bullish,ob,s2-s3,no_trade,
param1,bullish,ob,< s3,no_trade,
param1,bullish,os,> r3,no_trade,
param1,bullish,os,r3-r2,no_trade,
param1,bullish,os,r2-pdh,no_trade,
param1,bullish,os,r2-r1,no_trade,
param1,bullish,os,pdh-r1,no_trade,
param1,bullish,os,r1-pdh,no_trade,
param1,bullish,os,r1-tc,no_trade,
param1,bullish,os,pdh-tc,no_trade,
param1,bullish,os,tc-pp,no_trade,
param1,bullish,os,pp-bc,no_trade,
param1,bullish,os,bc-pdl,no_trade,
param1,bullish,os,bc-s1,no_trade,
param1,bullish,os,pdl-s1,no_trade,
param1,bullish,os,s1-pdl,no_trade,
param1,bullish,os,pdl-s2,no_trade,
param1,bullish,os,s1-s2,no_trade,
param1,bullish,os,s2-s3,no_trade,
param1,bullish,os,< s3,no_trade,
param1,bullish,nu,> r3,buy,
param1,bullish,nu,r3-r2,buy,
param1,bullish,nu,r2-pdh,buy,
param1,bullish,nu,r2-r1,buy,
param1,bullish,nu,pdh-r1,buy,sl will be 15 min close below vwap then take reversal trade  sl will be high of entry candle on 15 min close
param1,bullish,nu,r1-pdh,buy,
param1,bullish,nu,r1-tc,sell,
param1,bullish,nu,pdh-tc,buy,
param1,bullish,nu,tc-pp,no_trade,
param1,bullish,nu,pp-bc,buy,
param1,bullish,nu,bc-pdl,no_trade,
param1,bullish,nu,bc-s1,no_trade,
param1,bullish,nu,pdl-s1,no_trade,
param1,bullish,nu,s1-pdl,no_trade,
param1,bullish,nu,pdl-s2,no_trade,
param1,bullish,nu,s1-s2,no_trade,
param1,bullish,nu,s2-s3,no_trade,
param1,bullish,nu,< s3,no_trade,
param1,bearish,ob,> r3,no_trade,
param1,bearish,ob,r3-r2,sell,
param1,bearish,ob,r2-pdh,no_trade,
param1,bearish,ob,r2-r1,sell,
param1,bearish,ob,pdh-r1,no_trade,
param1,bearish,ob,r1-pdh,no_trade,
param1,bearish,ob,r1-tc,no_trade,
param1,bearish,ob,pdh-tc,buy,
param1,bearish,ob,tc-pp,buy,
param1,bearish,ob,pp-bc,buy,
param1,bearish,ob,bc-pdl,no_trade,
param1,bearish,ob,bc-s1,no_trade,
param1,bearish,ob,pdl-s1,no_trade,
param1,bearish,ob,s1-pdl,buy,
param1,bearish,ob,pdl-s2,buy,
param1,bearish,ob,s1-s2,no_trade,
param1,bearish,ob,s2-s3,no_trade,
param1,bearish,ob,< s3,no_trade,
param1,bearish,os,> r3,no_trade,
param1,bearish,os,r3-r2,no_trade,
param1,bearish,os,r2-pdh,no_trade,
param1,bearish,os,r2-r1,no_trade,
param1,bearish,os,pdh-r1,no_trade,
param1,bearish,os,r1-pdh,no_trade,
param1,bearish,os,r1-tc,no_trade,
param1,bearish,os,pdh-tc,no_trade,
param1,bearish,os,tc-pp,no_trade,
param1,bearish,os,pp-bc,no_trade,
param1,bearish,os,bc-pdl,no_trade,
param1,bearish,os,bc-s1,no_trade,
param1,bearish,os,pdl-s1,no_trade,
param1,bearish,os,s1-pdl,no_trade,
param1,bearish,os,pdl-s2,no_trade,
param1,bearish,os,s1-s2,no_trade,
param1,bearish,os,s2-s3,no_trade,
param1,bearish,os,< s3,no_trade,
param1,bearish,nu,> r3,no_trade,
param1,bearish,nu,r3-r2,no_trade,
param1,bearish,nu,r2-pdh,no_trade,
param1,bearish,nu,r2-r1,sell,
param1,bearish,nu,pdh-r1,no_trade,
param1,bearish,nu,r1-pdh,no_trade,
param1,bearish,nu,r1-tc,no_trade,
param1,bearish,nu,pdh-tc,no_trade,
param1,bearish,nu,tc-pp,no_trade,
param1,bearish,nu,pp-bc,no_trade,
param1,bearish,nu,bc-pdl,no_trade,
param1,bearish,nu,bc-s1,sell,
param1,bearish,nu,pdl-s1,no_trade,
param1,bearish,nu,s1-pdl,no_trade,
param1,bearish,nu,pdl-s2,no_trade,
param1,bearish,nu,s1-s2,no_trade,
param1,bearish,nu,s2-s3,no_trade,
param1,bearish,nu,< s3,no_trade,
param2,bullish,ob,> r3,no_trade,
param2,bullish,ob,r3-r2,no_trade,
param2,bullish,ob,r2-pdh,no_trade,
param2,bullish,ob,r2-r1,no_trade,
param2,bullish,ob,pdh-r1,no_trade,
param2,bullish,ob,r1-pdh,no_trade,
param2,bullish,ob,r1-tc,no_trade,
param2,bullish,ob,pdh-tc,no_trade,
param2,bullish,ob,tc-pp,no_trade,
param2,bullish,ob,pp-bc,no_trade,
param2,bullish,ob,bc-pdl,no_trade,
param2,bullish,ob,bc-s1,no_trade,
param2,bullish,ob,pdl-s1,no_trade,
param2,bullish,ob,s1-pdl,no_trade,
param2,bullish,ob,pdl-s2,no_trade,
param2,bullish,ob,s1-s2,no_trade,
param2,bullish,ob,s2-s3,no_trade,
param2,bullish,ob,< s3,no_trade,
param2,bullish,os,> r3,no_trade,
param2,bullish,os,r3-r2,no_trade,
param2,bullish,os,r2-pdh,no_trade,
param2,bullish,os,r2-r1,no_trade,
param2,bullish,os,pdh-r1,no_trade,
param2,bullish,os,r1-pdh,no_trade,
param2,bullish,os,r1-tc,no_trade,
param2,bullish,os,pdh-tc,no_trade,
param2,bullish,os,tc-pp,no_trade,
param2,bullish,os,pp-bc,no_trade,
param2,bullish,os,bc-pdl,no_trade,
param2,bullish,os,bc-s1,no_trade,
param2,bullish,os,pdl-s1,no_trade,
param2,bullish,os,s1-pdl,no_trade,
param2,bullish,os,pdl-s2,no_trade,
param2,bullish,os,s1-s2,no_trade,
param2,bullish,os,s2-s3,no_trade,
param2,bullish,os,< s3,no_trade,
param2,bullish,nu,> r3,no_trade,
param2,bullish,nu,r3-r2,no_trade,
param2,bullish,nu,r2-pdh,no_trade,
param2,bullish,nu,r2-r1,sell,
param2,bullish,nu,pdh-r1,no_trade,
param2,bullish,nu,r1-pdh,no_trade,
param2,bullish,nu,r1-tc,no_trade,
param2,bullish,nu,pdh-tc,no_trade,
param2,bullish,nu,tc-pp,no_trade,
param2,bullish,nu,pp-bc,no_trade,
param2,bullish,nu,bc-pdl,no_trade,
param2,bullish,nu,bc-s1,sell,
param2,bullish,nu,pdl-s1,no_trade,
param2,bullish,nu,s1-pdl,no_trade,
param2,bullish,nu,pdl-s2,no_trade,
param2,bullish,nu,s1-s2,no_trade,
param2,bullish,nu,s2-s3,no_trade,
param2,bullish,nu,< s3,no_trade,
param2,bearish,ob,> r3,no_trade,
param2,bearish,ob,r3-r2,no_trade,
param2,bearish,ob,r2-pdh,no_trade,
param2,bearish,ob,r2-r1,no_trade,
param2,bearish,ob,pdh-r1,no_trade,
param2,bearish,ob,r1-pdh,no_trade,
param2,bearish,ob,r1-tc,no_trade,
param2,bearish,ob,pdh-tc,no_trade,
param2,bearish,ob,tc-pp,no_trade,
param2,bearish,ob,pp-bc,no_trade,
param2,bearish,ob,bc-pdl,no_trade,
param2,bearish,ob,bc-s1,no_trade,
param2,bearish,ob,pdl-s1,no_trade,
param2,bearish,ob,s1-pdl,no_trade,
param2,bearish,ob,pdl-s2,no_trade,
param2,bearish,ob,s1-s2,no_trade,
param2,bearish,ob,s2-s3,no_trade,
param2,bearish,ob,< s3,no_trade,
param2,bearish,os,> r3,no_trade,
param2,bearish,os,r3-r2,no_trade,
param2,bearish,os,r2-pdh,no_trade,
param2,bearish,os,r2-r1,no_trade,
param2,bearish,os,pdh-r1,no_trade,
param2,bearish,os,r1-pdh,sell,
param2,bearish,os,r1-tc,no_trade,
param2,bearish,os,pdh-tc,no_trade,
param2,bearish,os,tc-pp,no_trade,
param2,bearish,os,pp-bc,no_trade,
param2,bearish,os,bc-pdl,no_trade,
param2,bearish,os,bc-s1,no_trade,
param2,bearish,os,pdl-s1,no_trade,
param2,bearish,os,s1-pdl,no_trade,
param2,bearish,os,pdl-s2,no_trade,
param2,bearish,os,s1-s2,no_trade,
param2,bearish,os,s2-s3,no_trade,
param2,bearish,os,< s3,no_trade,
param2,bearish,nu,> r3,no_trade,
param2,bearish,nu,r3-r2,no_trade,
param2,bearish,nu,r2-pdh,no_trade,
param2,bearish,nu,r2-r1,no_trade,
param2,bearish,nu,pdh-r1,no_trade,
param2,bearish,nu,r1-pdh,sell,sl will be 15 min close abv  vwap then take reversal trade  sl will be low of entry candle on 15 min close
param2,bearish,nu,r1-tc,no_trade,
param2,bearish,nu,pdh-tc,no_trade,c cpr < p cpr=sell
param2,bearish,nu,tc-pp,no_trade,
param2,bearish,nu,pp-bc,no_trade,c cpr < p cpr=sell
param2,bearish,nu,bc-pdl,sell,
param2,bearish,nu,bc-s1,sell,
param2,bearish,nu,pdl-s1,no_trade,
param2,bearish,nu,s1-pdl,no_trade,
param2,bearish,nu,pdl-s2,no_trade,
param2,bearish,nu,s1-s2,no_trade,
param2,bearish,nu,s2-s3,no_trade,
param2,bearish,nu,< s3,no_trade,
param3,bullish,ob,> r3,no_trade,
param3,bullish,ob,r3-r2,no_trade,
param3,bullish,ob,r2-pdh,no_trade,
param3,bullish,ob,r2-r1,sell,
param3,bullish,ob,pdh-r1,no_trade,
param3,bullish,ob,r1-pdh,no_trade,
param3,bullish,ob,r1-tc,no_trade,
param3,bullish,ob,pdh-tc,no_trade,
param3,bullish,ob,tc-pp,no_trade,
param3,bullish,ob,pp-bc,no_trade,
param3,bullish,ob,bc-pdl,no_trade,
param3,bullish,ob,bc-s1,no_trade,
param3,bullish,ob,pdl-s1,no_trade,
param3,bullish,ob,s1-pdl,no_trade,
param3,bullish,ob,pdl-s2,no_trade,
param3,bullish,ob,s1-s2,no_trade,
param3,bullish,ob,s2-s3,no_trade,
param3,bullish,ob,< s3,no_trade,
param3,bullish,os,> r3,no_trade,
param3,bullish,os,r3-r2,no_trade,
param3,bullish,os,r2-pdh,no_trade,
param3,bullish,os,r2-r1,no_trade,
param3,bullish,os,pdh-r1,no_trade,
param3,bullish,os,r1-pdh,no_trade,
param3,bullish,os,r1-tc,no_trade,
